Subtype,Stage,Event_Index,Event_Name,Region,Z_Score
3,8,11,L_Accumbens (z=1),L_Accumbens,1
3,9,18,R_Hippocampus (z=1),R_Hippocampus,1
3,10,6,L_Hippocampus (z=1),L_Hippocampus,1
3,11,7,L_Amygdala (z=1),L_Amygdala,1
3,12,14,R_Parietal (z=1),R_Parietal,1
3,13,5,L_Insula (z=1),L_Insula,1
3,14,0,L_Frontal (z=1),L_Frontal,1
3,15,1,L_Temporal (z=1),L_Temporal,1
3,16,13,R_Temporal (z=1),R_Temporal,1
3,17,12,R_Frontal (z=1),R_Frontal,1
3,18,17,R_Insula (z=1),R_Insula,1
3,19,4,L_Cingulate (z=1),L_Cingulate,1
3,20,2,L_Parietal (z=1),L_Parietal,1
3,21,25,L_Temporal (z=2),L_Temporal,2
3,22,19,R_Amygdala (z=1),R_Amygdala,1
3,23,26,L_Parietal (z=2),L_Parietal,2
3,24,37,R_Temporal (z=2),R_Temporal,2
3,25,24,L_Frontal (z=2),L_Frontal,2
3,26,38,R_Parietal (z=2),R_Parietal,2
3,27,36,R_Frontal (z=2),R_Frontal,2
3,28,16,R_Cingulate (z=1),R_Cingulate,1
3,29,28,L_Cingulate (z=2),L_Cingulate,2
3,30,40,R_Cingulate (z=2),R_Cingulate,2
3,31,29,L_Insula (z=2),L_Insula,2
3,32,15,R_Occipital (z=1),R_Occipital,1
3,33,3,L_Occipital (z=1),L_Occipital,1
3,34,41,R_Insula (z=2),R_Insula,2
3,35,34,L_Putamen (z=2),L_Putamen,2
3,36,30,L_Hippocampus (z=2),L_Hippocampus,2
3,37,42,R_Hippocampus (z=2),R_Hippocampus,2
3,38,46,R_Putamen (z=2),R_Putamen,2
3,39,45,R_Pallidum (z=2),R_Pallidum,2
3,40,33,L_Pallidum (z=2),L_Pallidum,2
3,41,47,R_Accumbens (z=2),R_Accumbens,2
3,42,39,R_Occipital (z=2),R_Occipital,2
3,43,35,L_Accumbens (z=2),L_Accumbens,2
3,44,43,R_Amygdala (z=2),R_Amygdala,2
3,45,31,L_Amygdala (z=2),L_Amygdala,2
3,46,44,R_Caudate (z=2),R_Caudate,2
3,47,27,L_Occipital (z=2),L_Occipital,2
3,48,32,L_Caudate (z=2),L_Caudate,2
